id,subCategory,articleType
27426,Bottomwear,Shorts
11144,Topwear,Shirts
31127,Dress,Dresses
11520,Bottomwear,Trousers
40382,Topwear,Tops
14052,Topwear,Shirts
32590,Bottomwear,Shorts
11712,Topwear,Shirts
25527,Topwear,Shirts
57107,Topwear,Tops
13879,Topwear,Shirts
47153,Bottomwear,Shorts
17623,Bottomwear,Trousers
51036,Loungewear and Nightwear,Dresses
26958,Topwear,Shirts
13283,Topwear,Shirts
26164,Bottomwear,Trousers
40376,Topwear,Tops
10406,Dress,Dresses
37224,Topwear,Shirts
32564,Bottomwear,Trousers
40144,Topwear,Tops
21173,Topwear,Shirts
23624,Topwear,Tops
6046,Topwear,Shirts
34693,Bottomwear,Shorts
7194,Topwear,Tops
12163,Bottomwear,Trousers
24065,Topwear,Shirts
1607,Bottomwear,Trousers
22392,Topwear,Tops
31785,Topwear,Tops
16395,Topwear,Shirts
51452,Topwear,Tops
23072,Bottomwear,Trousers
21725,Topwear,Long Sleeve
34038,Topwear,Shirts
16368,Bottomwear,Trousers
8777,Topwear,Shirts
39727,Topwear,Shirts
32599,Topwear,Tops
7169,Topwear,Shirts
13870,Topwear,Shirts
19576,Topwear,Tops
6887,Topwear,Long Sleeve
27877,Topwear,Shirts
19744,Topwear,Long Sleeve
11529,Topwear,Long Sleeve
13884,Topwear,Shirts
6873,Dress,Dresses
9235,Topwear,Shirts
9651,Topwear,Shirts
8783,Topwear,Shirts
4972,Topwear,Shirts
59636,Saree,Dresses
10259,Bottomwear,Trousers
59404,Topwear,Tops
3965,Topwear,Tops
29773,Topwear,Shirts
9463,Topwear,Shirts
59299,Topwear,Shirts
31111,Bottomwear,Trousers
13241,Topwear,Long Sleeve
43531,Topwear,Tops
46271,Dress,Dresses
7156,Topwear,Shirts
19549,Topwear,Long Sleeve
57131,Topwear,Tops
59897,Dress,Dresses
11724,Topwear,Shirts
52443,Loungewear and Nightwear,Dresses
22350,Topwear,Shirts
13417,Topwear,Shirts
27622,Bottomwear,Trousers
11340,Bottomwear,Trousers
52027,Topwear,Long Sleeve
11172,Topwear,Long Sleeve
39718,Topwear,Tops
41602,Topwear,Shirts
36750,Dress,Dresses
34007,Topwear,Tops
28458,Bottomwear,Shorts
16357,Topwear,Shirts
7700,Topwear,Tops
27410,Loungewear and Nightwear,Trousers
8748,Topwear,Shirts
12531,Topwear,Long Sleeve
42241,Topwear,Tops
59609,Saree,Dresses
23044,Bottomwear,Trousers
51464,Topwear,Tops
30453,Bottomwear,Trousers
2286,Topwear,Long Sleeve
10430,Topwear,Shirts
39388,Bottomwear,Trousers
37212,Topwear,Shirts
26152,Bottomwear,Trousers
12367,Topwear,Shirts
46285,Dress,Dresses
9804,Topwear,Shirts
12155,Bottomwear,Trousers
15370,Topwear,Long Sleeve
21145,Topwear,Shirts
1609,Topwear,Long Sleeve
29774,Topwear,Shirts
3962,Topwear,Tops
9464,Topwear,Shirts
9656,Topwear,Shirts
18201,Topwear,Long Sleeve
59631,Saree,Dresses
26956,Topwear,Tops
27884,Topwear,Shirts
10408,Topwear,Tops
41098,Topwear,Tops
12951,Topwear,Shirts
6048,Topwear,Shirts
13883,Topwear,Shirts
19585,Topwear,Tops
6874,Dress,Dresses
27870,Topwear,Shirts
8314,Topwear,Shirts
31129,Dress,Dresses
43509,Dress,Dresses
25529,Topwear,Shirts
16539,Topwear,Shirts
13877,Topwear,Shirts
6880,Topwear,Long Sleeve
11378,Topwear,Shirts
41408,Topwear,Tops
25971,Dress,Dresses
29780,Bottomwear,Trousers
28460,Bottomwear,Shorts
23088,Bottomwear,Trousers
19327,Topwear,Long Sleeve
39720,Dress,Dresses
44348,Topwear,Shirts
26367,Topwear,Shirts
33487,Topwear,Shirts
21142,Topwear,Tops
10437,Topwear,Shirts
32767,Topwear,Shirts
37215,Topwear,Shirts
53750,Bottomwear,Trousers
15145,Topwear,Shirts
26969,Topwear,Tops
26155,Bottomwear,Trousers
23043,Bottomwear,Trousers
51463,Topwear,Tops
9669,Topwear,Shirts
16196,Topwear,Long Sleeve
8589,Topwear,Shirts
12536,Topwear,Long Sleeve
10261,Bottomwear,Trousers
41605,Topwear,Shirts
11175,Topwear,Long Sleeve
33225,Dress,Dresses
34000,Topwear,Tops
7707,Bottomwear,Trousers
16350,Topwear,Shirts
51497,Bottomwear,Trousers
27417,Bottomwear,Shorts
22357,Topwear,Shirts
27625,Bottomwear,Shorts
13410,Topwear,Shirts
11347,Bottomwear,Trousers
16506,Bottomwear,Trousers
7151,Topwear,Shirts
46276,Topwear,Tops
57136,Bottomwear,Trousers
52444,Loungewear and Nightwear,Dresses
31116,Bottomwear,Shorts
43536,Topwear,Tops
28807,Topwear,Shirts
13246,Bottomwear,Trousers
26101,Topwear,Shirts
9259,Topwear,Shirts
16794,Topwear,Shirts
15111,Bottomwear,Trousers
44581,Bottomwear,Trousers
21116,Topwear,Tops
15323,Topwear,Long Sleeve
4774,Bottomwear,Trousers
32501,Topwear,Shirts
2483,Topwear,Tops
53152,Topwear,Shirts
14695,Bottomwear,Trousers
1662,Topwear,Long Sleeve
18864,Topwear,Long Sleeve
3909,Bottomwear,Shorts
51605,Bottomwear,Trousers
54979,Topwear,Shirts
51437,Topwear,Tops
21586,Bottomwear,Trousers
14661,Topwear,Shirts
13444,Topwear,Tops
50723,Dress,Dresses
18890,Topwear,Shirts
16136,Topwear,Tops
34054,Bottomwear,Shorts
5004,Bottomwear,Skirts
33271,Bottomwear,Skirts
31142,Topwear,Shirts
19728,Topwear,Shirts
27027,Bottomwear,Shorts
50949,Bottomwear,Trousers
46010,Saree,Dresses
14037,Topwear,Shirts
20202,Topwear,Long Sleeve
20030,Topwear,Shirts
52410,Loungewear and Nightwear,Dresses
41007,Bottomwear,Shorts
25542,Topwear,Tops
27215,Bottomwear,Shorts
59665,Saree,Dresses
39780,Topwear,Shirts
9602,Topwear,Shirts
48525,Dress,Dresses
51408,Topwear,Shirts
6478,Topwear,Long Sleeve
52883,Saree,Dresses
8186,Topwear,Shirts
48373,Topwear,Shirts
57995,Dress,Dresses
40922,Topwear,Long Sleeve
38838,Dress,Dresses
21129,Topwear,Tops
56847,Bottomwear,Trousers
15912,Topwear,Shirts
9266,Topwear,Shirts
29176,Bottomwear,Shorts
26902,Topwear,Tops
19525,Topwear,Long Sleeve
48387,Bottomwear,Trousers
57961,Saree,Dresses
39122,Bottomwear,Trousers
46813,Bottomwear,Skirts
19717,Topwear,Shirts
27018,Bottomwear,Trousers
7308,Topwear,Tops
30893,Bottomwear,Trousers
8724,Topwear,Shirts
49631,Dress,Dresses
58571,Bottomwear,Shorts
52877,Saree,Dresses
44912,Bottomwear,Trousers
57959,Saree,Dresses
4787,Bottomwear,Shorts
57165,Topwear,Tops
41000,Bottomwear,Shorts
27212,Topwear,Shirts
27020,Bottomwear,Trousers
20205,Topwear,Long Sleeve
10490,Topwear,Shirts
39328,Bottomwear,Shorts
2226,Bottomwear,Trousers
13671,Bottomwear,Trousers
34053,Bottomwear,Shorts
16303,Topwear,Shirts
15586,Topwear,Long Sleeve
5003,Bottomwear,Shorts
11126,Bottomwear,Trousers
14666,Topwear,Shirts
13443,Topwear,Tops
18897,Dress,Dresses
50724,Dress,Dresses
51430,Topwear,Shirts
4919,Topwear,Tops
10000,Bottomwear,Skirts
42215,Topwear,Tops
18863,Topwear,Long Sleeve
51602,Bottomwear,Trousers
44586,Bottomwear,Trousers
4773,Bottomwear,Shorts
15324,Topwear,Long Sleeve
21111,Topwear,Tops
40126,Bottomwear,Shorts
10656,Topwear,Tops
57191,Topwear,Tops
26106,Topwear,Shirts
12333,Bottomwear,Trousers
16793,Topwear,Shirts
15116,Bottomwear,Trousers
49636,Bottomwear,Skirts
19146,Topwear,Long Sleeve
14659,Bottomwear,Trousers
39773,Topwear,Shirts
11119,Topwear,Shirts
33249,Topwear,Shirts
8723,Topwear,Shirts
5458,Bottomwear,Trousers
46814,Bottomwear,Skirts
30894,Bottomwear,Trousers
19522,Topwear,Long Sleeve
48380,Bottomwear,Trousers
8949,Bottomwear,Trousers
57966,Saree,Dresses
52428,Loungewear and Nightwear,Dresses
39125,Bottomwear,Trousers
15129,Bottomwear,Trousers
15915,Topwear,Shirts
26139,Bottomwear,Trousers
51857,Topwear,Shirts
9261,Topwear,Shirts
26905,Topwear,Tops
29171,Bottomwear,Skirts
8181,Topwear,Shirts
48374,Topwear,Shirts
40925,Bottomwear,Trousers
57992,Topwear,Shirts
52884,Saree,Dresses
59662,Saree,Dresses
10803,Topwear,Shirts
4926,Topwear,Tops
48522,Dress,Dresses
9605,Topwear,Shirts
34098,Topwear,Shirts
54941,Topwear,Tops
36732,Bottomwear,Trousers
5809,Bottomwear,Shorts
33240,Topwear,Shirts
32392,Topwear,Shirts
41660,Topwear,Shirts
11110,Topwear,Shirts
16335,Topwear,Shirts
34065,Dress,Dresses
26792,Topwear,Shirts
43305,Topwear,Shirts
52045,Topwear,Long Sleeve
40580,Topwear,Tops
52879,Saree,Dresses
27224,Dress,Dresses
9892,Bottomwear,Trousers
7134,Bottomwear,Trousers
52421,Loungewear and Nightwear,Dresses
10694,Topwear,Tops
5451,Bottomwear,Shorts
20233,Topwear,Long Sleeve
13223,Bottomwear,Shorts
27016,Bottomwear,Trousers
19719,Topwear,Shirts
31173,Topwear,Tops
7306,Dress,Dresses
8188,Topwear,Shirts
6012,Topwear,Shirts
56849,Bottomwear,Trousers
21127,Topwear,Tops
38836,Dress,Dresses
10660,Bottomwear,Shorts
15120,Bottomwear,Trousers
9268,Topwear,Shirts
12305,Topwear,Shirts
22590,Bottomwear,Shorts
29178,Bottomwear,Trousers
41694,Loungewear and Nightwear,Trousers
51406,Topwear,Shirts
34091,Topwear,Tops
54948,Topwear,Long Sleeve
42223,Topwear,Tops
30603,Bottomwear,Shorts
19987,Topwear,Tops
50947,Bottomwear,Trousers
27029,Bottomwear,Shorts
19726,Topwear,Shirts
14039,Topwear,Shirts
39321,Bottomwear,Shorts
41009,Bottomwear,Trousers
13812,Topwear,Long Sleeve
25914,Bottomwear,Trousers
44923,Bottomwear,Trousers
19342,Topwear,Long Sleeve
54983,Loungewear and Nightwear,Trousers
39745,Bottomwear,Shorts
15749,Bottomwear,Trousers
19184,Topwear,Shirts
3907,Bottomwear,Trousers
29711,Topwear,Shirts
35940,Bottomwear,Shorts
48514,Topwear,Tops
9633,Topwear,Shirts
51439,Topwear,Tops
54977,Loungewear and Nightwear,Trousers
59654,Saree,Dresses
4910,Topwear,Tops
9257,Topwear,Shirts
26933,Topwear,Tops
21118,Topwear,Shirts
57198,Topwear,Tops
9065,Topwear,Shirts
42224,Topwear,Tops
30604,Bottomwear,Trousers
13486,Topwear,Shirts
24204,Bottomwear,Trousers
4928,Topwear,Tops
41693,Loungewear and Nightwear,Trousers
51401,Topwear,Shirts
15127,Bottomwear,Trousers
31180,Bottomwear,Trousers
6015,Topwear,Shirts
21120,Topwear,Long Sleeve
5456,Bottomwear,Shorts
39319,Bottomwear,Shorts
27011,Bottomwear,Shorts
13224,Topwear,Long Sleeve
31174,Topwear,Tops
7301,Topwear,Tops
27223,Dress,Dresses
7133,Bottomwear,Trousers
8947,Bottomwear,Trousers
52426,Loungewear and Nightwear,Dresses
57968,Saree,Dresses
10693,Topwear,Tops
26795,Topwear,Shirts
49638,Topwear,Tops
43302,Dress,Dresses
13472,Dress,Dresses
7557,Bottomwear,Shorts
34250,Bottomwear,Shorts
14657,Bottomwear,Trousers
52042,Topwear,Long Sleeve
44315,Bottomwear,Trousers
33247,Topwear,Shirts
11117,Topwear,Shirts
32395,Topwear,Shirts
16332,Topwear,Shirts
34062,Dress,Dresses
44588,Topwear,Shirts
10658,Topwear,Tops
40128,Topwear,Tops
9062,Topwear,Shirts
9250,Topwear,Shirts
26934,Dress,Dresses
15118,Bottomwear,Trousers
12759,Bottomwear,Trousers
35947,Topwear,Shirts
9634,Topwear,Shirts
48513,Topwear,Tops
59653,Saree,Dresses
4917,Topwear,Tops
19183,Topwear,Shirts
54984,Loungewear and Nightwear,Trousers
15588,Topwear,Shirts
33278,Bottomwear,Trousers
11128,Bottomwear,Trousers
14668,Topwear,Shirts
25913,Bottomwear,Trousers
44924,Bottomwear,Trousers
19177,Topwear,Shirts
16903,Topwear,Long Sleeve
28630,Bottomwear,Trousers
18899,Topwear,Tops
52419,Loungewear and Nightwear,Dresses
57957,Saree,Dresses
19721,Topwear,Shirts
39326,Bottomwear,Trousers
57108,Topwear,Tops
25528,Topwear,Shirts
6881,Topwear,Tops
46248,Topwear,Tops
16538,Topwear,Shirts
31128,Dress,Dresses
43508,Dress,Dresses
27871,Topwear,Shirts
19326,Topwear,Long Sleeve
23089,Bottomwear,Trousers
28461,Bottomwear,Shorts
4980,Bottomwear,Shorts
39721,Topwear,Tops
25970,Topwear,Tops
33815,Bottomwear,Trousers
11379,Topwear,Tops
22369,Bottomwear,Trousers
29781,Bottomwear,Trousers
18200,Topwear,Long Sleeve
8785,Topwear,Long Sleeve
54913,Topwear,Long Sleeve
28495,Bottomwear,Trousers
59630,Saree,Dresses
4974,Topwear,Shirts
1608,Bottomwear,Trousers
9465,Topwear,Shirts
3963,Topwear,Tops
26359,Topwear,Tops
6875,Dress,Dresses
12950,Topwear,Shirts
13882,Topwear,Shirts
9233,Topwear,Shirts
26957,Topwear,Shirts
27885,Topwear,Shirts
30832,Bottomwear,Trousers
32759,Topwear,Shirts
27624,Bottomwear,Shorts
13411,Topwear,Shirts
22356,Topwear,Shirts
11346,Bottomwear,Trousers
11174,Topwear,Long Sleeve
33224,Topwear,Tops
27416,Bottomwear,Shorts
34001,Topwear,Tops
16351,Topwear,Shirts
7706,Topwear,Tops
21385,Bottomwear,Trousers
31117,Topwear,Tops
13247,Bottomwear,Trousers
28806,Topwear,Shirts
43537,Topwear,Tops
7362,Topwear,Tops
7150,Topwear,Tops
46277,Dress,Dresses
16507,Bottomwear,Trousers
13849,Topwear,Shirts
52445,Loungewear and Nightwear,Dresses
57137,Bottomwear,Trousers
59891,Topwear,Shirts
11722,Topwear,Shirts
53751,Bottomwear,Trousers
15144,Topwear,Shirts
32766,Topwear,Shirts
26154,Bottomwear,Trousers
26968,Topwear,Tops
26366,Topwear,Shirts
9802,Topwear,Tops
20091,Topwear,Long Sleeve
21143,Topwear,Tops
33486,Dress,Dresses
12537,Bottomwear,Trousers
8588,Topwear,Shirts
42247,Topwear,Tops
36590,Topwear,Shirts
10260,Bottomwear,Trousers
10052,Bottomwear,Shorts
24267,Topwear,Shirts
23042,Bottomwear,Trousers
51462,Topwear,Tops
51802,Loungewear and Nightwear,Dresses
27882,Topwear,Shirts
6872,Dress,Dresses
13885,Topwear,Shirts
59405,Topwear,Tops
10258,Bottomwear,Trousers
9462,Topwear,Shirts
3964,Topwear,Tops
29772,Topwear,Shirts
9650,Topwear,Shirts
26508,Bottomwear,Trousers
8782,Topwear,Shirts
22994,Loungewear and Nightwear,Trousers
28492,Topwear,Shirts
6618,Topwear,Shirts
59637,Saree,Dresses
4973,Topwear,Shirts
19321,Topwear,Long Sleeve
8776,Topwear,Shirts
34039,Topwear,Shirts
55832,Loungewear and Nightwear,Dresses
16369,Bottomwear,Trousers
39726,Topwear,Shirts
4987,Dress,Dresses
27876,Topwear,Shirts
38290,Topwear,Tops
32598,Topwear,Tops
19577,Topwear,Tops
6886,Topwear,Long Sleeve
7168,Topwear,Shirts
13871,Topwear,Shirts
59608,Saree,Dresses
23045,Bottomwear,Trousers
51465,Dress,Dresses
42240,Topwear,Tops
16190,Topwear,Long Sleeve
26361,Topwear,Tops
12154,Bottomwear,Trousers
46284,Topwear,Tops
9805,Topwear,Shirts
15371,Topwear,Long Sleeve
21144,Topwear,Tops
14091,Topwear,Long Sleeve
10431,Topwear,Shirts
26153,Bottomwear,Trousers
34496,Topwear,Shirts
19548,Topwear,Long Sleeve
43702,Topwear,Tops
46270,Topwear,Tops
52442,Loungewear and Nightwear,Dresses
57130,Topwear,Tops
59896,Dress,Dresses
59298,Topwear,Shirts
21382,Bottomwear,Shorts
31110,Bottomwear,Trousers
43530,Topwear,Tops
13240,Topwear,Long Sleeve
36751,Topwear,Tops
39719,Topwear,Tops
41603,Topwear,Shirts
11173,Topwear,Long Sleeve
13624,Loungewear and Nightwear,Shorts
27411,Loungewear and Nightwear,Trousers
8749,Topwear,Shirts
28459,Bottomwear,Shorts
34006,Topwear,Tops
13416,Topwear,Shirts
27623,Bottomwear,Shorts
22351,Topwear,Shirts
7533,Bottomwear,Shorts
52026,Topwear,Long Sleeve
14633,Topwear,Tops
11341,Bottomwear,Trousers
8586,Topwear,Shirts
9454,Topwear,Shirts
3952,Topwear,Tops
59601,Saree,Dresses
23870,Bottomwear,Trousers
9666,Topwear,Shirts
15976,Topwear,Shirts
39380,Bottomwear,Trousers
10438,Bottomwear,Trousers
30803,Topwear,Shirts
26966,Topwear,Shirts
26368,Topwear,Shirts
40946,Topwear,Tops
33488,Topwear,Shirts
15982,Topwear,Shirts
28808,Topwear,Shirts
43539,Topwear,Tops
13249,Bottomwear,Trousers
31119,Topwear,Tops
26992,Bottomwear,Trousers
13847,Topwear,Tops
16509,Bottomwear,Trousers
57139,Bottomwear,Trousers
49655,Bottomwear,Skirts
22358,Topwear,Shirts
58515,Topwear,Tops
11348,Bottomwear,Trousers
8740,Topwear,Shirts
27418,Bottomwear,Shorts
7708,Bottomwear,Trousers
51498,Bottomwear,Trousers
28450,Bottomwear,Trousers
38863,Topwear,Tops
32565,Topwear,Tops
40145,Bottomwear,Shorts
12162,Bottomwear,Trousers
23625,Topwear,Tops
7195,Topwear,Tops
13282,Bottomwear,Shorts
12350,Topwear,Shirts
26959,Topwear,Shirts
10407,Topwear,Shirts
16394,Topwear,Shirts
51453,Topwear,Tops
23073,Bottomwear,Trousers
6611,Topwear,Shirts
24858,Topwear,Shirts
11383,Topwear,Tops
31784,Topwear,Tops
19328,Topwear,Long Sleeve
27427,Loungewear and Nightwear,Shorts
16360,Topwear,Shirts
34030,Topwear,Shirts
33215,Topwear,Tops
11145,Topwear,Shirts
24090,Topwear,Long Sleeve
11377,Topwear,Shirts
41407,Topwear,Tops
34202,Bottomwear,Trousers
25526,Topwear,Tops
32591,Bottomwear,Skirts
57106,Topwear,Tops
13878,Topwear,Shirts
31126,Dress,Dresses
14053,Topwear,Shirts
40383,Topwear,Tops
39717,Topwear,Tops
16358,Topwear,Shirts
34008,Topwear,Tops
28457,Bottomwear,Shorts
49652,Topwear,Tops
13418,Topwear,Shirts
58512,Topwear,Tops
52028,Topwear,Long Sleeve
19546,Topwear,Long Sleeve
59898,Topwear,Tops
59296,Topwear,Shirts
15985,Topwear,Shirts
26995,Bottomwear,Trousers
40941,Topwear,Tops
37813,Topwear,Shirts
39387,Bottomwear,Trousers
15971,Topwear,Shirts
42418,Topwear,Tops
34498,Topwear,Tops
30804,Topwear,Shirts
59606,Saree,Dresses
54925,Bottomwear,Shorts
9453,Topwear,Shirts
3955,Topwear,Tops
31121,Topwear,Tops
27878,Topwear,Shirts
14054,Topwear,Shirts
11526,Topwear,Tops
32596,Topwear,Tops
11714,Topwear,Shirts
57101,Topwear,Tops
6888,Topwear,Tops
19579,Topwear,Tops
12191,Topwear,Shirts
7166,Topwear,Shirts
11370,Topwear,Long Sleeve
9498,Topwear,Shirts
7502,Bottomwear,Shorts
22360,Topwear,Shirts
34205,Bottomwear,Trousers
8778,Topwear,Shirts
27420,Loungewear and Nightwear,Trousers
16367,Topwear,Shirts
34037,Topwear,Shirts
33212,Topwear,Tops
4989,Bottomwear,Shorts
56685,Saree,Dresses
39728,Topwear,Shirts
10256,Topwear,Shirts
11384,Topwear,Shirts
31783,Topwear,Tops
30651,Bottomwear,Trousers
22394,Bottomwear,Trousers
16393,Topwear,Shirts
51454,Topwear,Tops
6616,Topwear,Shirts
59639,Saree,Dresses
13285,Bottomwear,Shorts
26162,Bottomwear,Trousers
17625,Bottomwear,Trousers
37222,Topwear,Shirts
15340,Bottomwear,Shorts
38864,Topwear,Tops
32562,Bottomwear,Trousers
7192,Bottomwear,Trousers
9894,Bottomwear,Trousers
8946,Bottomwear,Trousers
27222,Bottomwear,Shorts
57155,Topwear,Tops
52427,Loungewear and Nightwear,Dresses
57969,Saree,Dresses
5457,Bottomwear,Trousers
14000,Topwear,Long Sleeve
27010,Bottomwear,Shorts
13225,Topwear,Long Sleeve
31175,Topwear,Tops
33246,Topwear,Shirts
41666,Topwear,Shirts
32394,Topwear,Shirts
11116,Topwear,Shirts
16333,Topwear,Shirts
34063,Dress,Dresses
34251,Bottomwear,Shorts
49639,Topwear,Tops
43303,Dress,Dresses
11324,Bottomwear,Trousers
52043,Topwear,Long Sleeve
39788,Topwear,Shirts
4929,Bottomwear,Skirts
51400,Topwear,Shirts
42225,Topwear,Tops
13487,Topwear,Shirts
30605,Bottomwear,Trousers
6014,Topwear,Shirts
21121,Topwear,Shirts
38830,Dress,Dresses
12303,Topwear,Shirts
26136,Bottomwear,Trousers
44925,Bottomwear,Trousers
14669,Topwear,Shirts
25912,Bottomwear,Trousers
18898,Topwear,Shirts
28631,Bottomwear,Trousers
19176,Topwear,Shirts
54985,Loungewear and Nightwear,Trousers
22905,Bottomwear,Trousers
33279,Bottomwear,Trousers
39743,Topwear,Tops
11129,Bottomwear,Trousers
30098,Bottomwear,Trousers
19720,Topwear,Shirts
39327,Bottomwear,Trousers
52418,Loungewear and Nightwear,Dresses
57956,Saree,Dresses
7931,Bottomwear,Trousers
26935,Dress,Dresses
9251,Topwear,Shirts
15119,Bottomwear,Trousers
59838,Topwear,Shirts
40129,Topwear,Shirts
9063,Topwear,Shirts
3901,Bottomwear,Skirts
19182,Topwear,Shirts
54971,Dress,Dresses
12758,Bottomwear,Trousers
9635,Topwear,Shirts
48512,Topwear,Tops
4916,Topwear,Tops
59652,Saree,Dresses
15121,Bottomwear,Trousers
22591,Topwear,Long Sleeve
9269,Topwear,Shirts
12304,Topwear,Shirts
6013,Topwear,Shirts
8189,Topwear,Shirts
10661,Bottomwear,Shorts
21126,Topwear,Shirts
38837,Dress,Dresses
6477,Topwear,Long Sleeve
30602,Bottomwear,Shorts
24202,Bottomwear,Trousers
41695,Bottomwear,Shorts
51407,Topwear,Shirts
54949,Topwear,Long Sleeve
12760,Bottomwear,Trousers
43304,Topwear,Shirts
52878,Saree,Dresses
11323,Bottomwear,Trousers
52044,Topwear,Long Sleeve
33241,Topwear,Shirts
5808,Topwear,Tops
11111,Topwear,Shirts
32393,Topwear,Shirts
41661,Topwear,Shirts
44313,Bottomwear,Trousers
16334,Topwear,Shirts
34064,Dress,Dresses
24692,Bottomwear,Trousers
20232,Topwear,Long Sleeve
5450,Bottomwear,Shorts
7307,Topwear,Tops
13222,Bottomwear,Shorts
27017,Bottomwear,Trousers
31172,Topwear,Tops
19718,Topwear,Shirts
48388,Bottomwear,Trousers
27225,Dress,Dresses
31340,Bottomwear,Trousers
52420,Loungewear and Nightwear,Dresses
51438,Topwear,Tops
54976,Dress,Dresses
35941,Bottomwear,Shorts
48515,Topwear,Tops
9632,Topwear,Shirts
4911,Topwear,Tops
59655,Saree,Dresses
15748,Bottomwear,Trousers
3906,Bottomwear,Trousers
19185,Topwear,Shirts
21119,Topwear,Long Sleeve
9064,Topwear,Shirts
26932,Topwear,Tops
9256,Topwear,Shirts
51860,Topwear,Shirts
41008,Bottomwear,Trousers
19515,Topwear,Long Sleeve
27028,Bottomwear,Shorts
50946,Bottomwear,Trousers
19727,Topwear,Shirts
39320,Bottomwear,Shorts
10498,Topwear,Tops
14038,Topwear,Shirts
54982,Loungewear and Nightwear,Trousers
39744,Topwear,Tops
44922,Bottomwear,Shorts
25915,Bottomwear,Trousers
16139,Topwear,Tops
19171,Topwear,Long Sleeve
16905,Topwear,Long Sleeve
24006,Topwear,Shirts
14693,Bottomwear,Trousers
51603,Bottomwear,Trousers
30634,Bottomwear,Shorts
42214,Topwear,Tops
51431,Topwear,Shirts
4918,Topwear,Tops
33283,Bottomwear,Trousers
10001,Bottomwear,Skirts
16792,Topwear,Shirts
6217,Topwear,Tops
26107,Topwear,Shirts
15117,Bottomwear,Trousers
40127,Dress,Dresses
44587,Bottomwear,Trousers
21110,Topwear,Long Sleeve
27021,Bottomwear,Trousers
39329,Bottomwear,Shorts
20204,Topwear,Long Sleeve
41001,Bottomwear,Shorts
57958,Saree,Dresses
4786,Bottomwear,Shorts
9099,Bottomwear,Shorts
27213,Topwear,Shirts
11315,Bottomwear,Trousers
14667,Topwear,Shirts
18896,Dress,Dresses
16130,Topwear,Tops
13442,Topwear,Tops
34052,Bottomwear,Shorts
33277,Bottomwear,Trousers
15587,Topwear,Shirts
